Month in	Month out	Bitcoin sum	Total Profit
2018-11-27	2018-12	29.0028085200000000	-2910.721863067200000000000000
2018-11-27	2019-01	200.1469217900000000	-44983.388732326800000000000000
2018-11-27	2019-02	100.9239511200000000	-2140.039514032400000000000000
2018-11-27	2019-03	112.8195302000000000	5664.668611342000000000000000
2018-11-27	2019-04	674.4404298800000000	877647.121283263800000000000000
2018-11-27	2019-05	71.9669556700000000	290738.344882021700000000000000
2018-11-27	2019-06	24.0615976700000000	148640.784076393100000000000000
2018-11-27	2019-12	25.9995010000000000	81416.222446560000000000000000
2018-11-27	2020-11	120.0000000000000000	1430158.800000000000000000000000
2018-11-27	2020-12	32.7193314800000000	688746.508360407200000000000000
2018-11-27	2021-01	41.9382497000000000	1343558.510956523000000000000000
2018-11-27	2021-02	31.6478817800000000	1408333.953429567900000000000000
2018-11-27	2021-05	12.9195600000000000	438664.409655600000000000000000
2018-11-27	2021-10	835.8023834500000000	48482915.412285723500000000000000
2018-11-28	2018-12	7526.9610481800000000	-3442278.589964176400000000000000
2018-11-28	2019-01	4546.8304709200000000	-2026834.730500112400000000000000
2018-11-28	2019-02	5447.9740143100000000	-2837458.200927396600000000000000
2018-11-28	2019-03	2305.2877114200000000	-630059.150160969300000000000000
2018-11-28	2019-04	1745.6379106600000000	1752320.100667919200000000000000
2018-11-28	2019-05	936.6896101000000000	2705306.371122614000000000000000
2018-11-28	2019-06	523.5949834400000000	2700227.605563500600000000000000
2018-11-28	2019-07	242.9340175400000000	1627031.137053439200000000000000
2018-11-28	2019-08	1918.0880803200000000	10585836.777148771000000000000000
2018-11-28	2019-09	477.8636331900000000	2505486.525109785400000000000000
2018-11-28	2019-10	133.1864834300000000	474318.961499534400000000000000
2018-11-28	2019-11	137.5273490900000000	612482.174992787700000000000000
2018-11-28	2019-12	82.3034480700000000	267973.386203464100000000000000
2018-11-28	2020-01	1100.8221923100000000	5099696.048554773100000000000000
2018-11-28	2020-03	3491.8323855900000000	6002238.654299766600000000000000
2018-11-28	2020-04	30.0495000000000000	76842.881895000000000000000000
2018-11-28	2020-05	42.0220739900000000	233367.342184004300000000000000
2018-11-28	2020-06	84.9451619000000000	482337.310263896000000000000000
2018-11-28	2020-07	2900.9214043300000000	19820739.388131007900000000000000
2018-11-28	2020-08	102.1423219700000000	784743.275076540100000000000000
2018-11-28	2020-09	695.5255771200000000	4531734.305390723200000000000000
2018-11-28	2020-10	31.6316525900000000	256246.752365486400000000000000
2018-11-28	2020-11	195.5193903900000000	2463828.818168386800000000000000
2018-11-28	2020-12	207.7157368700000000	3630240.560742567600000000000000
2018-11-28	2021-01	90.2612255000000000	3099719.346587048200000000000000
2018-11-28	2021-02	113.2604062900000000	5516792.721688654200000000000000
2018-11-28	2021-03	22.6778008100000000	1296944.304908301100000000000000
2018-11-28	2021-04	63.5356692600000000	3291416.987312885800000000000000
2018-11-28	2021-06	14.2550000000000000	423078.421500000000000000000000
2018-11-28	2021-08	54.6132370600000000	2356232.315890298600000000000000
2018-11-28	2021-10	30.5186000000000000	1740364.059924000000000000000000
2018-11-28	2021-12	50.0000000000000000	2202393.000000000000000000000000
2018-11-28	2022-01	43.1972849000000000	1858111.771195295000000000000000
2018-11-28	2022-03	97.2360661000000000	3385211.410189196000000000000000
2018-11-28	2022-08	10.0526620400000000	200444.954219959600000000000000
2018-11-28	2022-11	45.3790486100000000	564642.879834994100000000000000
2018-11-28	2023-01	41.3713490500000000	720284.702370781500000000000000
2018-11-28	2024-08	13.0492253100000000	745926.472275128100000000000000
2018-11-29	2018-12	1160.6120356400000000	-643264.213939482000000000000000
2018-11-29	2019-01	6418.8378604300000000	-3830351.129486634000000000000000
2018-11-29	2019-02	4201.3258754600000000	-2412885.270475371800000000000000
2018-11-29	2019-03	1227.4865886500000000	-378240.794432479500000000000000
2018-11-29	2019-04	7462.5069734100000000	4081162.628011945900000000000000
2018-11-29	2019-05	1663.6207855700000000	4352617.355604495400000000000000
2018-11-29	2019-06	888.3414958400000000	4531678.826166850100000000000000
2018-11-29	2019-07	132.4452544900000000	892383.041317121000000000000000
2018-11-29	2019-08	329.9990000000000000	1782160.893260000000000000000000
2018-11-29	2019-09	524.3775218700000000	2695287.144219135100000000000000
2018-11-29	2019-10	359.8114320800000000	1458519.206436604800000000000000
2018-11-29	2019-11	254.3912688800000000	898725.938197139200000000000000
2018-11-29	2019-12	40.5671871800000000	130176.858285645600000000000000
2018-11-29	2020-01	362.2098174500000000	1780249.768116115100000000000000
2018-11-29	2020-02	482.4963376100000000	2637071.496163106300000000000000
2018-11-29	2020-03	226.2783316700000000	444669.725885360500000000000000
2018-11-29	2020-04	110.0255006800000000	302452.208960492800000000000000
2018-11-29	2020-05	20.0007983000000000	97978.429106012000000000000000
2018-11-29	2020-06	228.0005077000000000	1223902.165323446000000000000000
2018-11-29	2020-07	79.0427866700000000	396238.019205620300000000000000
2018-11-29	2020-08	36.6932092200000000	274273.735297182000000000000000
2018-11-29	2020-09	53.9869098000000000	340517.933363748000000000000000
2018-11-29	2020-10	85.5027230700000000	639591.596760397600000000000000
2018-11-29	2020-11	125.0000000000000000	1792653.250000000000000000000000
2018-11-29	2020-12	86.1792711900000000	1467668.926195259600000000000000
2018-11-29	2021-01	167.6213977500000000	5383821.408342107600000000000000
2018-11-29	2021-02	52.6341452300000000	2342655.610626729800000000000000
2018-11-29	2021-04	18.0563671800000000	1061148.864763922400000000000000
2018-11-29	2021-07	17.1609959500000000	453374.635903455000000000000000
2018-11-29	2021-10	15.3837625600000000	669535.806239334400000000000000
