Month in	Month out	Bitcoin sum	Total Profit
2011-07	2017-12	680.4572252000000000	10091921.29706654749031740000000000000000
2011-07	2018-01	696.6997365800000000	9464584.7735484939913302000000000000
2011-07	2018-02	941.7553222600000000	7981472.02979824412561050000000000000000
2011-07	2018-03	95.6887555400000000	922606.5648517909338178000000000000
2011-07	2018-04	37.4607644800000000	288937.5981260987008986000000000000
2011-07	2018-05	150.6473122000000000	1313868.9163866272432566000000000000
2011-07	2018-06	42.1820473700000000	286030.18807959452260950000000000000000
2011-07	2018-07	265.0943468500000000	2044763.2506750626879593000000000000
2011-07	2018-08	70.4803310600000000	478295.3455444148484245000000000000
2011-07	2018-09	85.3602178400000000	554238.6482794080299567000000000000
2011-07	2018-10	84.2101393800000000	552265.1394309710197652000000000000
2011-07	2018-11	68.5699685500000000	340179.7836808575779350000000000000
2011-07	2018-12	25.1462128200000000	94360.2167042410894260000000000000
2011-07	2019-01	41.6189467700000000	147334.2810016922533462000000000000
2011-07	2019-02	7.7775486000000000	29531.7553317361852103000000000000
2011-07	2019-03	80.2224154900000000	320946.9527924697005443000000000000
2011-07	2019-04	14.0566037700000000	73732.0749553194424817000000000000
2011-07	2019-05	22.1327233400000000	153093.6414831679176626000000000000
2011-07	2019-06	542.4551287000000000	4352178.7736545042865453000000000000
2011-07	2019-07	8.8205471400000000	91613.1217556698379453000000000000
2011-07	2019-08	6.6713769800000000	70424.0934351592725273000000000000
2011-07	2019-09	113.5832520400000000	1190972.5607640453905143000000000000
2011-07	2019-10	1.80697032000000000000	15286.7129911304817199000000000000
2011-07	2019-11	46.8985315300000000	338424.3411187234366003000000000000
2011-07	2019-12	11.7981399200000000	84877.3668546008963161000000000000
2011-07	2020-01	31.1465394600000000	254258.1942369942113454000000000000
2011-07	2020-02	22.5389038000000000	223829.7366251389829016000000000000
2011-07	2020-03	22.0156924200000000	172835.4773864940366718000000000000
2011-07	2020-04	20.6093961200000000	152080.9623419335408044000000000000
2011-07	2020-05	2.9789764200000000	27377.9030792404152603000000000000
2011-07	2020-06	674.2820898900000000	6114636.3424302393722112000000000000
2011-07	2020-07	3.3988863200000000	33144.4562871637196416000000000000
2011-07	2020-08	10.6686950700000000	124920.5167956342420121000000000000
2011-07	2020-09	17.9831068600000000	190491.1388238749160687000000000000
2011-07	2020-10	6.4808599700000000	73442.4645887115626456000000000000
2011-07	2020-11	64.6237476400000000	1045513.08935601757665680000000000000000
2011-07	2020-12	2556.9720603300000000	48876330.76888543133875630000000000000000
2011-07	2021-01	55.4723752400000000	1962995.3516184059673859000000000000
2011-07	2021-02	93.3072902400000000	4401198.0812625458024404000000000000
2011-07	2021-03	126.2909612300000000	7187486.6300226877704913000000000000
2011-07	2021-04	38.9705063900000000	2254530.3870671443885486000000000000
2011-07	2021-05	63.2626436200000000	2791347.90672171676642450000000000000000
2011-07	2021-06	30.8652846500000000	1091568.92611625317599120000000000000000
2011-07	2021-07	39.3517994900000000	1331317.0118167796015620000000000000
2011-07	2021-08	13.3696039300000000	634763.0099070367305346000000000000
2011-07	2021-09	12.1838915900000000	529358.7323245929113273000000000000
2011-07	2021-10	199.2276587000000000	12145156.53503187384869510000000000000000
2011-07	2021-11	85.7546736200000000	5490088.11616140147564140000000000000000
2011-07	2021-12	1037.1303856700000000	49186657.2240533407166028000000000000
2011-07	2022-01	14.0002942900000000	552664.7204005703061225000000000000
2011-07	2022-02	127.0490230200000000	4885154.77857974235831240000000000000000
2011-07	2022-03	7.7650986300000000	343691.31070466592975370000000000000000
2011-07	2022-04	5.6661058700000000	236661.4457428119677581000000000000
2011-07	2022-05	18.5433502000000000	668758.2372422821732770000000000000
2011-07	2022-06	470.6385483400000000	10168508.5305205467566929000000000000
2011-07	2022-07	1.31379008000000000000	30469.7650473632075904000000000000
2011-07	2022-08	4.6220000000000000	105836.6991372886500000000000000000
2011-07	2022-09	3.1507584300000000	61755.2590035034448003000000000000
